schema_version,program_id,year,category,requested_period_start,requested_period_end,coverage_evidence_class,verified_existing_observation_version_count_by_reference_year,verified_existing_observation_version_count_by_availability_year,verified_existing_unique_reference_period_count,verified_existing_series_count,verified_existing_earliest_reference_date,verified_existing_latest_reference_date,prospective_metadata_approved_route_count,prospective_metadata_distinct_indicator_count,prospective_metadata_release_bundle_count,prospective_metadata_expected_coverage,key_or_license_review_route_count,availability_or_version_unresolved_route_count,current_revised_only_route_count,rejected_route_count,missing_or_unapproved_families,observation_count_semantics,config_sha256
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2000,INFLATION,2000-01-01,2000-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2000,LABOUR,2000-01-01,2000-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2000,GROWTH,2000-01-01,2000-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2000,MONETARY_POLICY,2000-01-01,2000-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2000,LIQUIDITY,2000-01-01,2000-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2001,INFLATION,2001-01-01,2001-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2001,LABOUR,2001-01-01,2001-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2001,GROWTH,2001-01-01,2001-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2001,MONETARY_POLICY,2001-01-01,2001-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2001,LIQUIDITY,2001-01-01,2001-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
