available_at,direction,event_id,lower,timeframe,upper,zone_type
2017-10-05 17:05:00,BEARISH,D1-20171004-BEARISH,6021.4,M5,6022.9,BREAKER
2017-10-05 16:29:00,BEARISH,D1-20171004-BEARISH,6021.9,M1,6022.4,BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6018.9,M1,6023.8,BREAKER
2017-10-05 18:11:00,BEARISH,D1-20171004-BEARISH,6018.0,M1,6019.9,BREAKER
2017-10-05 18:49:00,BEARISH,D1-20171004-BEARISH,6029.4,M1,6030.4,BREAKER
2017-10-05 20:34:00,BEARISH,D1-20171004-BEARISH,6046.0,M1,6046.5,BREAKER
2017-10-05 21:06:00,BEARISH,D1-20171004-BEARISH,6047.5,M1,6048.5,BREAKER
2017-10-05 22:31:00,BEARISH,D1-20171004-BEARISH,6058.0,M1,6058.9,BREAKER
2017-10-09 22:25:00,BEARISH,D1-20171006-BEARISH,6059.0,M5,6062.5,BREAKER
2017-10-09 08:20:00,BEARISH,D1-20171006-BEARISH,6072.6,M5,6074.1,BREAKER
2017-10-09 18:00:00,BEARISH,D1-20171006-BEARISH,6069.4,M5,6070.1,BREAKER
2017-10-09 17:00:00,BEARISH,D1-20171006-BEARISH,6077.1,M5,6078.1,BREAKER
2017-10-09 02:02:00,BEARISH,D1-20171006-BEARISH,6065.5,M1,6065.9,BREAKER
2017-10-09 21:37:00,BEARISH,D1-20171006-BEARISH,6064.9,M1,6065.3,BREAKER
2017-10-09 21:37:00,BEARISH,D1-20171006-BEARISH,6065.6,M1,6066.0,BREAKER
2017-10-09 04:38:00,BEARISH,D1-20171006-BEARISH,6073.2,M1,6073.4,BREAKER
2017-10-09 08:11:00,BEARISH,D1-20171006-BEARISH,6072.7,M1,6072.8,BREAKER
2017-10-09 05:19:00,BEARISH,D1-20171006-BEARISH,6073.8,M1,6074.6,BREAKER
2017-10-09 08:14:00,BEARISH,D1-20171006-BEARISH,6072.6,M1,6072.8,BREAKER
2017-10-09 07:11:00,BEARISH,D1-20171006-BEARISH,6073.6,M1,6073.8,BREAKER
2017-10-09 07:55:00,BEARISH,D1-20171006-BEARISH,6073.2,M1,6073.3,BREAKER
2017-10-09 09:07:00,BEARISH,D1-20171006-BEARISH,6071.7,M1,6071.8,BREAKER
2017-10-09 09:41:00,BEARISH,D1-20171006-BEARISH,6070.8,M1,6071.2,BREAKER
2017-10-09 16:39:00,BEARISH,D1-20171006-BEARISH,6069.6,M1,6069.9,BREAKER
2017-10-09 10:27:00,BEARISH,D1-20171006-BEARISH,6073.6,M1,6074.3,BREAKER
2017-10-09 11:59:00,BEARISH,D1-20171006-BEARISH,6072.6,M1,6073.1,BREAKER
2017-10-09 12:26:00,BEARISH,D1-20171006-BEARISH,6071.8,M1,6072.6,BREAKER
2017-10-09 12:46:00,BEARISH,D1-20171006-BEARISH,6072.2,M1,6072.6,BREAKER
2017-10-09 16:12:00,BEARISH,D1-20171006-BEARISH,6077.1,M1,6077.8,BREAKER
2017-10-09 16:28:00,BEARISH,D1-20171006-BEARISH,6077.6,M1,6078.6,BREAKER
2017-10-09 17:52:00,BEARISH,D1-20171006-BEARISH,6068.1,M1,6072.1,BREAKER
2017-10-09 17:14:00,BEARISH,D1-20171006-BEARISH,6073.8,M1,6076.3,BREAKER
