available_at,direction,event_id,lower,timeframe,upper,zone_type
2017-10-05 15:54:00,BEARISH,D1-20171004-BEARISH,6022.4,M1,6022.9,OB
2017-10-05 16:09:00,BEARISH,D1-20171004-BEARISH,6022.4,M1,6023.4,OB
2017-10-05 17:30:00,BEARISH,D1-20171004-BEARISH,6024.8,M1,6025.9,OB
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.2,M1,6023.4,OB
2017-10-05 18:48:00,BEARISH,D1-20171004-BEARISH,6030.2,M1,6030.9,OB
2017-10-05 21:05:00,BEARISH,D1-20171004-BEARISH,6048.5,M1,6049.3,OB
2017-10-05 21:20:00,BEARISH,D1-20171004-BEARISH,6045.8,M1,6046.4,OB
2017-10-05 22:33:00,BEARISH,D1-20171004-BEARISH,6056.5,M1,6058.0,OB
2017-10-09 11:05:00,BEARISH,D1-20171006-BEARISH,6071.8,M5,6072.7,OB
2017-10-09 16:35:00,BEARISH,D1-20171006-BEARISH,6077.3,M5,6079.6,OB
2017-10-09 17:50:00,BEARISH,D1-20171006-BEARISH,6070.6,M5,6074.6,OB
2017-10-09 19:30:00,BEARISH,D1-20171006-BEARISH,6073.3,M5,6074.8,OB
2017-10-09 20:50:00,BEARISH,D1-20171006-BEARISH,6071.3,M5,6073.1,OB
2017-10-09 22:15:00,BEARISH,D1-20171006-BEARISH,6058.8,M5,6061.8,OB
2017-10-09 07:10:00,BEARISH,D1-20171006-BEARISH,6074.1,M1,6074.2,OB
2017-10-09 07:54:00,BEARISH,D1-20171006-BEARISH,6073.3,M1,6073.6,OB
2017-10-09 08:12:00,BEARISH,D1-20171006-BEARISH,6072.8,M1,6073.1,OB
2017-10-09 08:36:00,BEARISH,D1-20171006-BEARISH,6072.1,M1,6072.2,OB
2017-10-09 09:05:00,BEARISH,D1-20171006-BEARISH,6073.1,M1,6073.3,OB
2017-10-09 09:51:00,BEARISH,D1-20171006-BEARISH,6070.8,M1,6071.1,OB
2017-10-09 10:26:00,BEARISH,D1-20171006-BEARISH,6074.2,M1,6074.9,OB
2017-10-09 10:31:00,BEARISH,D1-20171006-BEARISH,6073.2,M1,6073.8,OB
2017-10-09 10:43:00,BEARISH,D1-20171006-BEARISH,6072.8,M1,6073.3,OB
2017-10-09 12:44:00,BEARISH,D1-20171006-BEARISH,6073.2,M1,6073.6,OB
2017-10-09 13:00:00,BEARISH,D1-20171006-BEARISH,6073.6,M1,6074.1,OB
2017-10-09 13:47:00,BEARISH,D1-20171006-BEARISH,6075.6,M1,6076.1,OB
2017-10-09 15:02:00,BEARISH,D1-20171006-BEARISH,6077.1,M1,6077.2,OB
2017-10-09 15:21:00,BEARISH,D1-20171006-BEARISH,6079.6,M1,6080.2,OB
2017-10-09 15:38:00,BEARISH,D1-20171006-BEARISH,6079.6,M1,6079.7,OB
2017-10-09 16:27:00,BEARISH,D1-20171006-BEARISH,6078.8,M1,6079.3,OB
2017-10-09 16:31:00,BEARISH,D1-20171006-BEARISH,6076.3,M1,6077.8,OB
2017-10-09 16:56:00,BEARISH,D1-20171006-BEARISH,6071.8,M1,6074.1,OB
2017-10-09 17:13:00,BEARISH,D1-20171006-BEARISH,6079.6,M1,6082.1,OB
2017-10-09 17:25:00,BEARISH,D1-20171006-BEARISH,6075.1,M1,6076.6,OB
2017-10-09 19:04:00,BEARISH,D1-20171006-BEARISH,6075.1,M1,6076.1,OB
2017-10-09 19:29:00,BEARISH,D1-20171006-BEARISH,6071.8,M1,6073.1,OB
2017-10-09 20:49:00,BEARISH,D1-20171006-BEARISH,6070.6,M1,6071.7,OB
2017-10-09 21:35:00,BEARISH,D1-20171006-BEARISH,6066.8,M1,6067.8,OB
2017-10-09 22:03:00,BEARISH,D1-20171006-BEARISH,6062.1,M1,6063.1,OB
2017-10-09 22:11:00,BEARISH,D1-20171006-BEARISH,6059.8,M1,6061.3,OB
2017-10-09 22:13:00,BEARISH,D1-20171006-BEARISH,6058.3,M1,6059.8,OB
2017-10-09 22:49:00,BEARISH,D1-20171006-BEARISH,6055.7,M1,6057.4,OB
2017-11-02 03:15:00,BEARISH,D1-20171101-BEARISH,6234.4,M15,6237.7,OB
2017-11-02 16:45:00,BEARISH,D1-20171101-BEARISH,6245.9,M15,6250.9,OB
2017-11-02 17:15:00,BEARISH,D1-20171101-BEARISH,6230.9,M15,6245.9,OB
2017-11-02 18:45:00,BEARISH,D1-20171101-BEARISH,6223.9,M15,6236.4,OB
