breaker_count,c1_midpoint_reach_count,c2_midpoint_reach_count,direction,event_id,execution_status,first_confluence_time,first_family,first_midpoint_reach_time,fvg_count,ob_count,technical_complete_setup,timeframe
0,0,0,BEARISH,D1-20171004-BEARISH,NO_COMPLETE_TECHNICAL_SETUP,,,,0,0,False,M15
1,0,0,BEARISH,D1-20171004-BEARISH,NO_COMPLETE_TECHNICAL_SETUP,,,,6,0,False,M5
7,1,1,BEARISH,D1-20171004-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-10-05 16:29:00,C2_FVG_BREAKER,2017-10-05 16:31:00,75,8,True,M1
0,0,0,BEARISH,D1-20171006-BEARISH,NO_COMPLETE_TECHNICAL_SETUP,,,,3,0,False,M15
4,1,1,BEARISH,D1-20171006-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-10-09 08:20:00,C2_FVG_BREAKER,2017-10-09 09:05:00,28,6,True,M5
24,1,1,BEARISH,D1-20171006-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-10-09 02:02:00,C2_FVG_BREAKER,2017-10-09 02:06:00,163,28,True,M1
1,1,1,BEARISH,D1-20171101-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-11-02 03:15:00,C1_OB_FVG,2017-11-02 11:15:00,11,4,True,M15
5,0,1,BEARISH,D1-20171101-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-11-02 12:20:00,C2_FVG_BREAKER,2017-11-02 12:25:00,31,3,True,M5
21,1,1,BEARISH,D1-20171101-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-11-02 03:06:00,C1_OB_FVG,2017-11-02 11:16:00,171,33,True,M1
0,0,0,BEARISH,D1-20171123-BEARISH,NO_COMPLETE_TECHNICAL_SETUP,,,,1,0,False,M15
2,1,1,BEARISH,D1-20171123-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-11-24 17:30:00,C1_OB_FVG,2017-11-24 17:40:00,6,1,True,M5
3,1,1,BEARISH,D1-20171123-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2017-11-24 14:51:00,C1_OB_FVG,2017-11-24 15:28:00,47,6,True,M1
0,0,0,BEARISH,D1-20180216-BEARISH,NO_COMPLETE_TECHNICAL_SETUP,,,,9,4,False,M15
2,1,1,BEARISH,D1-20180216-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2018-02-19 09:25:00,C1_OB_FVG,2018-02-19 10:05:00,30,4,True,M5
14,1,1,BEARISH,D1-20180216-BEARISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2018-02-19 04:47:00,C1_OB_FVG,2018-02-19 04:52:00,152,27,True,M1
1,1,1,BULLISH,D1-20180423-BULLISH,MIDPOINT_REACHED_NOT_FILL_PROOF,2018-04-24 08:45:00,C2_FVG_BREAKER,2018-04-24 09:15:00,12,6,True,M15
