actual_entry_fill_points,actual_exit_fill_points,ambiguous_adverse_first,bars_held_m1,block_kind,block_lower,block_upper,commission_cost_points,component_ids,confluence_lower,confluence_upper,cost_adjusted_entry_points,cost_adjusted_exit_points,cost_evidence_class,d1_candle2_start,decision_time,direction,entry_bar_start,entry_path_available_at,entry_reference_points,event_id,exit_reason,exit_reference_points,exit_time,experiment_id,expiry_time,exposure_label,family,fill_evidence_class,fill_reason,fill_status,final_holdout_accesses,financing_cost_points,gross_movement_points,gross_r,holding_hours,mode,net_points,net_r,outcome,program_id,protected_data_accesses,risk_points,scenario_id,setup_id,slippage_cost_points,spread_cost_points,stop_reference_points,strategy_id,target_multiple,target_reference_points,timeframe
7055.6,7057.9,False,1,BREAKER,7051.9,7056.9,1.0,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7054.85,7058.65,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:32:00,2019-02-20 21:33:00,7055.6,D1-20190219-BEARISH,ENTRY_BAR_STOP_ADVERSE,7057.9,2019-02-20 21:33:00,MLR-TECH-ABL-001,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0,-2.3,-0.4791666666666666666666666667,0.0,TECHNICAL_ONLY_ABLATION,-4.80,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,4.80,NORMALIZED_LOW_COST,D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,7057.9,HIERARCHICAL_M15_M5_M1,1.5,7048.400,HIERARCHICAL_M15_M5_M1
7055.6,7058.9,False,3,BREAKER,7051.9,7056.9,2,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7054.1,7060.4,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:32:00,2019-02-20 21:33:00,7055.6,D1-20190219-BEARISH,STOP,7058.9,2019-02-20 21:35:00,MLR-TECH-ABL-001,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.0,-3.3,-0.3975903614457831325301204819,0.03333333333333333,TECHNICAL_ONLY_ABLATION,-8.3,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,8.3,NORMALIZED_MEDIUM_COST,D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,7058.9,HIERARCHICAL_M15_M5_M1,1.5,7043.15,HIERARCHICAL_M15_M5_M1
7055.6,7062.9,False,20,BREAKER,7051.9,7056.9,4,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7051.1,7067.4,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:32:00,2019-02-20 21:33:00,7055.6,D1-20190219-BEARISH,STOP,7062.9,2019-02-20 21:52:00,MLR-TECH-ABL-001,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.00,-7.3,-0.3596059113300492610837438424,0.31666666666666665,TECHNICAL_ONLY_ABLATION,-20.30,-1.0,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,20.3,NORMALIZED_HIGH_COST,D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,7062.9,HIERARCHICAL_M15_M5_M1,1.5,7025.15,HIERARCHICAL_M15_M5_M1
9045.0,9046.1,False,1,BREAKER,9043.8,9045.1,1.0,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9044.25,9046.85,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:52:00,2020-01-30 20:53:00,9045.0,D1-20200129-BEARISH,ENTRY_BAR_STOP_ADVERSE,9046.1,2020-01-30 20:53:00,MLR-TECH-ABL-001,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0,-1.1,-0.3055555555555555555555555556,0.0,TECHNICAL_ONLY_ABLATION,-3.60,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,3.60,NORMALIZED_LOW_COST,D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,9046.1,HIERARCHICAL_M15_M5_M1,1.5,9039.600,HIERARCHICAL_M15_M5_M1
9045.0,9047.1,False,2,BREAKER,9043.8,9045.1,2,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9043.5,9048.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:52:00,2020-01-30 20:53:00,9045.0,D1-20200129-BEARISH,STOP,9047.1,2020-01-30 20:54:00,MLR-TECH-ABL-001,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.0,-2.1,-0.2957746478873239436619718310,0.016666666666666666,TECHNICAL_ONLY_ABLATION,-7.1,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,7.1,NORMALIZED_MEDIUM_COST,D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,9047.1,HIERARCHICAL_M15_M5_M1,1.5,9034.35,HIERARCHICAL_M15_M5_M1
9045.0,9051.1,False,9,BREAKER,9043.8,9045.1,4,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9040.5,9055.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:52:00,2020-01-30 20:53:00,9045.0,D1-20200129-BEARISH,STOP,9051.1,2020-01-30 21:01:00,MLR-TECH-ABL-001,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.00,-6.1,-0.3193717277486910994764397906,0.13333333333333333,TECHNICAL_ONLY_ABLATION,-19.10,-1.0,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,19.1,NORMALIZED_HIGH_COST,D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,9051.1,HIERARCHICAL_M15_M5_M1,1.5,9016.35,HIERARCHICAL_M15_M5_M1
8650.75,8657.6,False,8,BREAKER,8649.6,8656.6,1.0,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8650.00,8658.35,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 18:20:00,2020-04-24 18:21:00,8650.75,D1-20200423-BEARISH,STOP,8657.6,2020-04-24 18:28:00,MLR-TECH-ABL-001,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0,-6.85,-0.7326203208556149732620320856,0.11666666666666667,TECHNICAL_ONLY_ABLATION,-9.35,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,9.35,NORMALIZED_LOW_COST,D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,8657.6,HIERARCHICAL_M15_M5_M1,1.5,8636.725,HIERARCHICAL_M15_M5_M1
8650.75,8631.475,False,13,BREAKER,8649.6,8656.6,2,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8649.25,8632.975,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 18:20:00,2020-04-24 18:21:00,8650.75,D1-20200423-BEARISH,TARGET_1_5R,8631.475,2020-04-24 18:33:00,MLR-TECH-ABL-001,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.0,19.275,1.5,0.2,TECHNICAL_ONLY_ABLATION,14.275,1.110894941634241245136186770,WIN_TARGET_1_5R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,12.85,NORMALIZED_MEDIUM_COST,D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,8658.6,HIERARCHICAL_M15_M5_M1,1.5,8631.475,HIERARCHICAL_M15_M5_M1
8650.75,8662.6,False,30,BREAKER,8649.6,8656.6,4,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8646.25,8667.1,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 18:20:00,2020-04-24 18:21:00,8650.75,D1-20200423-BEARISH,STOP,8662.6,2020-04-24 18:50:00,MLR-TECH-ABL-001,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.00,-11.85,-0.4768611670020120724346076459,0.48333333333333334,TECHNICAL_ONLY_ABLATION,-24.85,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,24.85,NORMALIZED_HIGH_COST,D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,8662.6,HIERARCHICAL_M15_M5_M1,1.5,8613.475,HIERARCHICAL_M15_M5_M1
12799.05,12810.075,False,4,BREAKER,12795.2,12806.9,1.0,FVG-005832|BREAKER-000629|FVG-005850|BREAKER-000632|FVG-006027|BREAKER-000663,12798.8,12799.3,12799.80,12809.325,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2021-03-25 00:00:00,2021-03-26 22:02:00,BULLISH,2021-03-26 22:03:00,2021-03-26 22:04:00,12799.05,D1-20210325-BULLISH,TARGET_1_5R,12810.075,2021-03-26 22:07:00,MLR-TECH-ABL-001,2021-03-27 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0,11.025,1.5,0.05,TECHNICAL_ONLY_ABLATION,8.525,1.159863945578231292517006803,WIN_TARGET_1_5R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,7.35,NORMALIZED_LOW_COST,D1-20210325-BULLISH-HIER-C2_FVG_BREAKER,0.50,1,12794.2,HIERARCHICAL_M15_M5_M1,1.5,12810.075,HIERARCHICAL_M15_M5_M1
