actual_entry_fill_points,actual_exit_fill_points,ambiguous_adverse_first,bars_held_m1,block_kind,block_lower,block_upper,commission_cost_points,component_ids,confluence_lower,confluence_upper,cost_adjusted_entry_points,cost_adjusted_exit_points,cost_evidence_class,d1_candle2_start,decision_time,direction,entry_bar_start,entry_path_available_at,entry_reference_points,event_id,exit_reason,exit_reference_points,exit_time,expiry_time,exposure_label,family,fill_evidence_class,fill_reason,fill_status,final_holdout_accesses,financing_cost_points,gross_movement_points,gross_r,holding_hours,mode,net_points,net_r,outcome,program_id,protected_data_accesses,risk_points,scenario_id,setup_id,slippage_cost_points,spread_cost_points,stop_reference_points,strategy_id,target_reference_points,timeframe
7051.5,7033.7,False,8,BREAKER,7051.9,7056.9,1.0,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7050.75,7034.45,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:13:00,2019-02-20 21:14:00,7051.5,D1-20190219-BEARISH,TARGET_2R,7033.7,2019-02-20 21:21:00,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0,17.8,2,0.11666666666666667,TECHNICAL_ONLY_ABLATION,15.30,1.719101123595505617977528090,WIN_2R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,8.90,NORMALIZED_LOW_COST,CONTROL-GENERIC-D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,7057.9,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,7033.7,HIERARCHICAL_M15_M5_M1
7051.5,7026.7,False,9,BREAKER,7051.9,7056.9,2,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7050.0,7028.2,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:13:00,2019-02-20 21:14:00,7051.5,D1-20190219-BEARISH,TARGET_2R,7026.7,2019-02-20 21:22:00,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.0,24.8,2,0.13333333333333333,TECHNICAL_ONLY_ABLATION,19.8,1.596774193548387096774193548,WIN_2R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,12.4,NORMALIZED_MEDIUM_COST,CONTROL-GENERIC-D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,7058.9,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,7026.7,HIERARCHICAL_M15_M5_M1
7051.5,7062.9,False,39,BREAKER,7051.9,7056.9,4,FVG-002095|BREAKER-000225|FVG-002119|BREAKER-000228|FVG-002239|BREAKER-000252,7055.1,7056.1,7047.0,7067.4,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2019-02-19 00:00:00,2019-02-20 21:13:00,BEARISH,2019-02-20 21:13:00,2019-02-20 21:14:00,7051.5,D1-20190219-BEARISH,STOP,7062.9,2019-02-20 21:52:00,2019-02-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.00,-11.4,-0.4672131147540983606557377049,0.6333333333333333,TECHNICAL_ONLY_ABLATION,-24.40,-1.0,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,24.4,NORMALIZED_HIGH_COST,CONTROL-GENERIC-D1-20190219-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,7062.9,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,7002.7,HIERARCHICAL_M15_M5_M1
9041.9,9046.1,False,2,BREAKER,9043.8,9045.1,1.0,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9041.15,9046.85,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:51:00,2020-01-30 20:52:00,9041.9,D1-20200129-BEARISH,STOP,9046.1,2020-01-30 20:53:00,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0,-4.2,-0.6268656716417910447761194030,0.016666666666666666,TECHNICAL_ONLY_ABLATION,-6.70,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,6.70,NORMALIZED_LOW_COST,CONTROL-GENERIC-D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,9046.1,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,9028.5,HIERARCHICAL_M15_M5_M1
9041.9,9047.1,False,3,BREAKER,9043.8,9045.1,2,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9040.4,9048.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:51:00,2020-01-30 20:52:00,9041.9,D1-20200129-BEARISH,STOP,9047.1,2020-01-30 20:54:00,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.0,-5.2,-0.5098039215686274509803921569,0.03333333333333333,TECHNICAL_ONLY_ABLATION,-10.2,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,10.2,NORMALIZED_MEDIUM_COST,CONTROL-GENERIC-D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,9047.1,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,9021.5,HIERARCHICAL_M15_M5_M1
9041.9,9051.1,False,10,BREAKER,9043.8,9045.1,4,FVG-003932|BREAKER-000419|FVG-003966|BREAKER-000421|FVG-004146|BREAKER-000425,9044.9,9045.1,9037.4,9055.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-01-29 00:00:00,2020-01-30 20:51:00,BEARISH,2020-01-30 20:51:00,2020-01-30 20:52:00,9041.9,D1-20200129-BEARISH,STOP,9051.1,2020-01-30 21:01:00,2020-01-31 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.00,-9.2,-0.4144144144144144144144144144,0.15,TECHNICAL_ONLY_ABLATION,-22.20,-1.0,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,22.2,NORMALIZED_HIGH_COST,CONTROL-GENERIC-D1-20200129-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,9051.1,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,8997.5,HIERARCHICAL_M15_M5_M1
8648.6,8625.6,False,14,BREAKER,8649.6,8656.6,1.0,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8647.85,8626.35,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 17:57:00,2020-04-24 17:58:00,8648.6,D1-20200423-BEARISH,TARGET_2R,8625.6,2020-04-24 18:11:00,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0,23.0,2,0.21666666666666667,TECHNICAL_ONLY_ABLATION,20.50,1.782608695652173913043478261,WIN_2R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,11.50,NORMALIZED_LOW_COST,CONTROL-GENERIC-D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,0.50,1,8657.6,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,8625.6,HIERARCHICAL_M15_M5_M1
8648.6,8618.6,False,15,BREAKER,8649.6,8656.6,2,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8647.1,8620.1,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 17:57:00,2020-04-24 17:58:00,8648.6,D1-20200423-BEARISH,TARGET_2R,8618.6,2020-04-24 18:12:00,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.0,30.0,2,0.23333333333333334,TECHNICAL_ONLY_ABLATION,25.0,1.666666666666666666666666667,WIN_2R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,15.0,NORMALIZED_MEDIUM_COST,CONTROL-GENERIC-D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,1.0,2,8658.6,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,8618.6,HIERARCHICAL_M15_M5_M1
8648.6,8662.6,False,53,BREAKER,8649.6,8656.6,4,FVG-004468|BREAKER-000477|FVG-004491|BREAKER-000481|FVG-004615|BREAKER-000500,8650.4,8651.1,8644.1,8667.1,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2020-04-23 00:00:00,2020-04-24 17:57:00,BEARISH,2020-04-24 17:57:00,2020-04-24 17:58:00,8648.6,D1-20200423-BEARISH,STOP,8662.6,2020-04-24 18:50:00,2020-04-25 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0.00,-14.0,-0.5185185185185185185185185185,0.8666666666666667,TECHNICAL_ONLY_ABLATION,-27.00,-1.0,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,27.0,NORMALIZED_HIGH_COST,CONTROL-GENERIC-D1-20200423-BEARISH-HIER-C2_FVG_BREAKER,3.0,6,8662.6,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,8594.6,HIERARCHICAL_M15_M5_M1
12810.1,12846.9,False,25,BREAKER,12795.2,12806.9,1.0,FVG-005832|BREAKER-000629|FVG-005850|BREAKER-000632|FVG-006027|BREAKER-000663,12798.8,12799.3,12810.85,12846.15,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2021-03-25 00:00:00,2021-03-26 22:02:00,BULLISH,2021-03-26 22:02:00,2021-03-26 22:03:00,12810.1,D1-20210325-BULLISH,TARGET_2R,12846.9,2021-03-26 22:27:00,2021-03-27 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_NEXT_OPEN_CONTROL,FIRST_SUBSEQUENT_M1_OPEN,FILLED,0,0,36.8,2,0.4,TECHNICAL_ONLY_ABLATION,34.30,1.864130434782608695652173913,WIN_2R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,18.40,NORMALIZED_LOW_COST,CONTROL-GENERIC-D1-20210325-BULLISH-HIER-C2_FVG_BREAKER,0.50,1,12794.2,CONTROL_DIRECTION_GENERIC__HIERARCHICAL_M15_M5_M1,12846.9,HIERARCHICAL_M15_M5_M1
