apparent_change_only_frequency,commission,direction_dependence,drawdown,frequency_retention,gross_result,incremental_economic_contribution,layer,lower_tail_fold_result,mode,net_result,setups_after,setups_before,slippage,spread,trade_count,year_dependence
True,NOT_RUN,"{""BEARISH"": 1333, ""BULLISH"": 370}",NOT_RUN,1.0,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_TREND_CONTEXT,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,1703,1703,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,"{""BEARISH"": 145, ""BULLISH"": 38}",NOT_RUN,0.10745742806811509,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_SWEEP,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,183,1703,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,"{""BEARISH"": 71, ""BULLISH"": 18}",NOT_RUN,0.48633879781420764,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,89,183,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,"{""BEARISH"": 25, ""BULLISH"": 7}",NOT_RUN,0.3595505617977528,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M15_OB_FVG,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,32,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 1, ""2018"": 2, ""2019"": 4, ""2020"": 3, ""2021"": 1, ""2022"": 5, ""2023"": 6, ""2024"": 3, ""2025"": 6, ""2026"": 1}"
True,NOT_RUN,"{""BEARISH"": 35, ""BULLISH"": 8}",NOT_RUN,0.48314606741573035,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M15_FVG_BREAKER,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,43,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 1, ""2018"": 4, ""2019"": 2, ""2020"": 7, ""2021"": 2, ""2022"": 5, ""2023"": 9, ""2024"": 5, ""2025"": 6, ""2026"": 2}"
True,NOT_RUN,"{""BEARISH"": 56, ""BULLISH"": 14}",NOT_RUN,0.7865168539325843,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M5_OB_FVG,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,70,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 2, ""2018"": 7, ""2019"": 7, ""2020"": 12, ""2021"": 4, ""2022"": 8, ""2023"": 13, ""2024"": 5, ""2025"": 9, ""2026"": 3}"
True,NOT_RUN,"{""BEARISH"": 63, ""BULLISH"": 15}",NOT_RUN,0.8764044943820225,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M5_FVG_BREAKER,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,78,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 3, ""2018"": 8, ""2019"": 8, ""2020"": 10, ""2021"": 5, ""2022"": 10, ""2023"": 14, ""2024"": 7, ""2025"": 8, ""2026"": 5}"
True,NOT_RUN,"{""BEARISH"": 71, ""BULLISH"": 18}",NOT_RUN,1.0,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M1_OB_FVG,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,89,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 4, ""2018"": 8, ""2019"": 9, ""2020"": 13, ""2021"": 6, ""2022"": 12, ""2023"": 15, ""2024"": 8, ""2025"": 9, ""2026"": 5}"
True,NOT_RUN,"{""BEARISH"": 71, ""BULLISH"": 18}",NOT_RUN,1.0,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_M1_FVG_BREAKER,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,89,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2017"": 4, ""2018"": 8, ""2019"": 9, ""2020"": 13, ""2021"": 6, ""2022"": 12, ""2023"": 15, ""2024"": 8, ""2025"": 9, ""2026"": 5}"
True,NOT_RUN,"{""BEARISH"": 0, ""BULLISH"": 0}",NOT_RUN,0.0,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_HIERARCHICAL_M15_M5_M1_OB_FVG,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,0,89,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,"{""BEARISH"": 10, ""BULLISH"": 2}",NOT_RUN,0.1348314606741573,NOT_RUN,NOT_RUN,TECHNICAL_ONLY_D1_H4_HIERARCHICAL_M15_M5_M1_FVG_BREAKER,NOT_RUN,TECHNICAL_ONLY_ABLATION,NOT_RUN,12,89,NOT_RUN,NOT_RUN,NOT_RUN,"{""2019"": 1, ""2020"": 2, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 3, ""2025"": 1, ""2026"": 1}"
True,NOT_RUN,{},NOT_RUN,,NOT_RUN,NOT_RUN,MACRO_ONLY_DIRECTIONAL_CONTROL,NOT_RUN,FULL_STRATEGY_CONTROL,NOT_RUN,0,0,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,{},NOT_RUN,,NOT_RUN,NOT_RUN,DIRECTION_MATCHED_GENERIC_ENTRY,NOT_RUN,FULL_STRATEGY_CONTROL,NOT_RUN,0,0,NOT_RUN,NOT_RUN,NOT_RUN,{}
True,NOT_RUN,{},NOT_RUN,,NOT_RUN,NOT_RUN,NO_TRADE_CONTROL,NOT_RUN,CONTROL,NOT_RUN,0,0,NOT_RUN,NOT_RUN,NOT_RUN,{}
