available_at,direction,event_id,lower,timeframe,upper,zone_type
2017-10-05 17:35:00,BEARISH,D1-20171004-BEARISH,6023.4,M5,6025.4,FVG
2017-10-05 21:15:00,BEARISH,D1-20171004-BEARISH,6046.5,M5,6046.8,FVG
2017-10-05 23:25:00,BEARISH,D1-20171004-BEARISH,6063.0,M5,6063.3,FVG
2017-10-05 23:35:00,BEARISH,D1-20171004-BEARISH,6063.9,M5,6064.0,FVG
2017-10-05 23:50:00,BEARISH,D1-20171004-BEARISH,6062.1,M5,6063.0,FVG
2017-10-05 23:55:00,BEARISH,D1-20171004-BEARISH,6061.8,M5,6061.9,FVG
2017-10-05 17:05:00,BEARISH,D1-20171004-BEARISH,6021.4,M5,6022.9,BREAKER
2017-10-05 12:04:00,BEARISH,D1-20171004-BEARISH,6004.4,M1,6004.5,FVG
2017-10-05 12:07:00,BEARISH,D1-20171004-BEARISH,6003.4,M1,6003.5,FVG
2017-10-05 12:08:00,BEARISH,D1-20171004-BEARISH,6003.3,M1,6003.7,FVG
2017-10-05 12:24:00,BEARISH,D1-20171004-BEARISH,6004.4,M1,6004.7,FVG
2017-10-05 12:25:00,BEARISH,D1-20171004-BEARISH,6003.9,M1,6004.7,FVG
2017-10-05 12:26:00,BEARISH,D1-20171004-BEARISH,6003.8,M1,6004.2,FVG
2017-10-05 12:34:00,BEARISH,D1-20171004-BEARISH,6003.7,M1,6003.8,FVG
2017-10-05 12:36:00,BEARISH,D1-20171004-BEARISH,6003.4,M1,6003.7,FVG
2017-10-05 12:54:00,BEARISH,D1-20171004-BEARISH,6004.3,M1,6005.2,FVG
2017-10-05 13:25:00,BEARISH,D1-20171004-BEARISH,6005.7,M1,6005.8,FVG
2017-10-05 13:42:00,BEARISH,D1-20171004-BEARISH,6005.5,M1,6005.8,FVG
2017-10-05 13:51:00,BEARISH,D1-20171004-BEARISH,6005.7,M1,6005.8,FVG
2017-10-05 14:03:00,BEARISH,D1-20171004-BEARISH,6006.0,M1,6006.2,FVG
2017-10-05 14:11:00,BEARISH,D1-20171004-BEARISH,6007.4,M1,6007.5,FVG
2017-10-05 14:15:00,BEARISH,D1-20171004-BEARISH,6007.5,M1,6007.7,FVG
2017-10-05 14:38:00,BEARISH,D1-20171004-BEARISH,6008.7,M1,6008.8,FVG
