program_id,experiment_id,variant,join_mode,strategy_id,timeframe,confluence_family,direction,year,cost_scenario,detected_technical_setups,filled_technical_trades,permitted_setups,permitted_trades,filtered_setups,retention_percentage,no_fills,wins,losses,timeouts,ambiguities,resolved_win_rate,two_r_before_stop_rate,average_gross_r,median_gross_r,average_net_r,median_net_r,total_net_r,expectancy_r,profit_factor,maximum_drawdown_r,maximum_drawdown_duration_trades,longest_losing_streak,average_holding_hours,median_holding_hours,profitable_years,losing_years,percentage_profitable_years,worst_year,worst_year_net_r,best_year,best_year_net_r,maximum_inactivity_hours,study_span_hours,metric_status
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,ALL,NORMALIZED_LOW_COST,49,13,49,13,0,100.0,36,3,10,0,0,0.23076923076923078,0.23076923076923078,-0.1407280680128869,-0.8054474708171661,-0.35486963393957016,-1.0,-4.6133052412144115,-0.35486963393957016,0.5386694758785587,6.474029475197699,11.0,5,0.5025641025641026,0.05,2,5,0.2857142857142857,2019,-3.0,2021,1.7596153846153846,9556.566666666668,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,ALL,NORMALIZED_MEDIUM_COST,49,13,49,13,0,100.0,36,3,10,0,0,0.23076923076923078,0.23076923076923078,-0.06587046282735802,-0.6941896024465393,-0.3803788568747999,-1.0,-4.944925139372398,-0.3803788568747999,0.5055074860627602,6.711824906272165,11.0,5,0.5692307692307692,0.11666666666666667,2,5,0.2857142857142857,2019,-3.0,2021,1.6402877697841727,9556.566666666668,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,ALL,NORMALIZED_HIGH_COST,49,13,49,13,0,100.0,36,1,12,0,0,0.07692307692307693,0.07692307692307693,-0.36057469569168216,-0.5430579964850615,-0.8078408078408079,-1.0,-10.501930501930502,-0.8078408078408079,0.12483912483912483,10.501930501930502,12.0,7,0.8128205128205128,0.5666666666666667,1,6,0.14285714285714285,2019,-3.0,2021,1.498069498069498,9556.566666666668,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2017,NORMALIZED_LOW_COST,1,0,1,0,0,,1,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2017,NORMALIZED_MEDIUM_COST,1,0,1,0,0,,1,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2017,NORMALIZED_HIGH_COST,1,0,1,0,0,,1,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2018,NORMALIZED_LOW_COST,6,0,6,0,0,,6,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2018,NORMALIZED_MEDIUM_COST,6,0,6,0,0,,6,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2018,NORMALIZED_HIGH_COST,6,0,6,0,0,,6,0,0,0,0,,,,,,,0,,,0.0,,0,,,0,0,,,,,,,75703.51666666666,ZERO_TRADES
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2019,NORMALIZED_LOW_COST,6,3,6,3,0,100.0,3,0,3,0,0,0.0,0.0,-0.7407771917575839,-0.7747747747747747,-1.0,-1.0,-3.0,-1.0,0.0,3.0,2.0,3,1.4666666666666668,0.8333333333333334,0,1,0.0,2019,-3.0,2019,-3.0,3807.8166666666666,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2019,NORMALIZED_MEDIUM_COST,6,3,6,3,0,100.0,3,0,3,0,0,0.0,0.0,-0.6350731439201759,-0.6575342465753424,-1.0,-1.0,-3.0,-1.0,0.0,3.0,2.0,3,1.527777777777778,0.85,0,1,0.0,2019,-3.0,2019,-3.0,3807.8166666666666,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2019,NORMALIZED_HIGH_COST,6,3,6,3,0,100.0,3,0,3,0,0,0.0,0.0,-0.5091035375613099,-0.5112781954887218,-1.0,-1.0,-3.0,-1.0,0.0,3.0,2.0,3,2.138888888888889,1.4333333333333333,0,1,0.0,2019,-3.0,2019,-3.0,3807.8166666666666,75703.51666666666,PASS
SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,SMMS-MACRO-REGIME-R9-001,T0,J0,M15_C1_OB_FVG,M15,C1_OB_FVG,ALL,2020,NORMALIZED_LOW_COST,6,2,6,2,0,100.0,4,0,2,0,0,0.0,0.0,-0.7456604474148334,-0.7456604474148334,-1.0,-1.0,-2.0,-1.0,0.0,2.0,1.0,2,0.6333333333333334,0.6333333333333334,0,1,0.0,2020,-2.0,2020,-2.0,3653.2833333333333,75703.51666666666,PASS
