year,category,valid_days,unknown_days,score_minus_2_days,score_minus_1_days,score_0_days,score_plus_1_days,score_plus_2_days,update_count
2000,INFLATION,0,366,0,0,0,0,0,0
2000,LABOUR,0,366,0,0,0,0,0,0
2000,GROWTH,0,366,0,0,0,0,0,0
2000,MONETARY_POLICY,0,366,0,0,0,0,0,0
2000,LIQUIDITY,0,366,0,0,0,0,0,102
2001,INFLATION,0,365,0,0,0,0,0,0
2001,LABOUR,0,365,0,0,0,0,0,0
2001,GROWTH,0,365,0,0,0,0,0,0
2001,MONETARY_POLICY,0,365,0,0,0,0,0,0
2001,LIQUIDITY,291,74,28,28,49,95,91,151
2002,INFLATION,0,365,0,0,0,0,0,0
2002,LABOUR,0,365,0,0,0,0,0,0
2002,GROWTH,0,365,0,0,0,0,0,0
2002,MONETARY_POLICY,0,365,0,0,0,0,0,0
2002,LIQUIDITY,365,0,91,70,91,57,56,234
2003,INFLATION,0,365,0,0,0,0,0,0
2003,LABOUR,0,365,0,0,0,0,0,0
2003,GROWTH,0,365,0,0,0,0,0,0
2003,MONETARY_POLICY,0,365,0,0,0,0,0,0
2003,LIQUIDITY,365,0,50,134,28,118,35,371
2004,INFLATION,0,366,0,0,0,0,0,0
2004,LABOUR,0,366,0,0,0,0,0,0
2004,GROWTH,0,366,0,0,0,0,0,0
2004,MONETARY_POLICY,0,366,0,0,0,0,0,0
2004,LIQUIDITY,366,0,0,177,42,126,21,420
2005,INFLATION,0,365,0,0,0,0,0,0
2005,LABOUR,0,365,0,0,0,0,0,0
2005,GROWTH,0,365,0,0,0,0,0,0
2005,MONETARY_POLICY,0,365,0,0,0,0,0,0
2005,LIQUIDITY,365,0,28,174,58,98,7,359
2006,INFLATION,0,365,0,0,0,0,0,0
2006,LABOUR,0,365,0,0,0,0,0,0
2006,GROWTH,0,365,0,0,0,0,0,0
2006,MONETARY_POLICY,0,365,0,0,0,0,0,0
2006,LIQUIDITY,365,0,28,140,47,130,20,351
2007,INFLATION,0,365,0,0,0,0,0,0
2007,LABOUR,0,365,0,0,0,0,0,0
2007,GROWTH,0,365,0,0,0,0,0,0
2007,MONETARY_POLICY,0,365,0,0,0,0,0,0
2007,LIQUIDITY,365,0,21,145,41,109,49,373
2008,INFLATION,0,366,0,0,0,0,0,0
2008,LABOUR,0,366,0,0,0,0,0,0
2008,GROWTH,0,366,0,0,0,0,0,0
2008,MONETARY_POLICY,0,366,0,0,0,0,0,0
2008,LIQUIDITY,366,0,35,87,27,168,49,375
2009,INFLATION,0,365,0,0,0,0,0,0
2009,LABOUR,0,365,0,0,0,0,0,0
2009,GROWTH,0,365,0,0,0,0,0,0
2009,MONETARY_POLICY,0,365,0,0,0,0,0,0
2009,LIQUIDITY,365,0,42,109,28,165,21,368
2010,INFLATION,0,365,0,0,0,0,0,0
2010,LABOUR,0,365,0,0,0,0,0,0
2010,GROWTH,0,365,0,0,0,0,0,0
2010,MONETARY_POLICY,0,365,0,0,0,0,0,0
2010,LIQUIDITY,365,0,70,115,14,91,75,358
2011,INFLATION,0,365,0,0,0,0,0,0
2011,LABOUR,0,365,0,0,0,0,0,0
2011,GROWTH,0,365,0,0,0,0,0,0
2011,MONETARY_POLICY,0,365,0,0,0,0,0,0
2011,LIQUIDITY,365,0,29,103,7,142,84,349
2012,INFLATION,0,366,0,0,0,0,0,0
2012,LABOUR,0,366,0,0,0,0,0,0
2012,GROWTH,0,366,0,0,0,0,0,0
2012,MONETARY_POLICY,0,366,0,0,0,0,0,0
2012,LIQUIDITY,366,0,49,84,28,191,14,345
2013,INFLATION,0,365,0,0,0,0,0,0
2013,LABOUR,0,365,0,0,0,0,0,0
2013,GROWTH,0,365,0,0,0,0,0,0
2013,MONETARY_POLICY,0,365,0,0,0,0,0,0
2013,LIQUIDITY,365,0,7,76,42,171,69,306
2014,INFLATION,0,365,0,0,0,0,0,0
2014,LABOUR,0,365,0,0,0,0,0,0
2014,GROWTH,0,365,0,0,0,0,0,0
2014,MONETARY_POLICY,0,365,0,0,0,0,0,0
2014,LIQUIDITY,365,0,21,130,53,154,7,324
2015,INFLATION,0,365,0,0,0,0,0,0
2015,LABOUR,0,365,0,0,0,0,0,0
2015,GROWTH,0,365,0,0,0,0,0,0
2015,MONETARY_POLICY,0,365,0,0,0,0,0,0
2015,LIQUIDITY,365,0,49,127,56,98,35,336
2016,INFLATION,0,366,0,0,0,0,0,0
2016,LABOUR,0,366,0,0,0,0,0,0
2016,GROWTH,0,366,0,0,0,0,0,0
2016,MONETARY_POLICY,0,366,0,0,0,0,0,0
2016,LIQUIDITY,366,0,7,149,35,161,14,323
2017,INFLATION,0,365,0,0,0,0,0,4
2017,LABOUR,0,365,0,0,0,0,0,13
2017,GROWTH,0,365,0,0,0,0,0,0
2017,MONETARY_POLICY,30,335,0,30,0,0,0,4
2017,LIQUIDITY,365,0,42,133,36,140,14,331
2018,INFLATION,0,365,0,0,0,0,0,17
2018,LABOUR,0,365,0,0,0,0,0,50
2018,GROWTH,0,365,0,0,0,0,0,14
2018,MONETARY_POLICY,365,0,0,338,27,0,0,12
2018,LIQUIDITY,365,0,83,149,35,98,0,323
2019,INFLATION,0,365,0,0,0,0,0,29
2019,LABOUR,0,365,0,0,0,0,0,67
2019,GROWTH,0,365,0,0,0,0,0,17
2019,MONETARY_POLICY,365,0,0,123,64,178,0,12
2019,LIQUIDITY,365,0,28,129,64,91,53,375
2020,INFLATION,0,366,0,0,0,0,0,41
2020,LABOUR,0,366,0,0,0,0,0,80
2020,GROWTH,0,366,0,0,0,0,0,22
2020,MONETARY_POLICY,366,0,0,93,88,94,91,12
2020,LIQUIDITY,366,0,14,63,28,175,86,368
2021,INFLATION,0,365,0,0,0,0,0,53
2021,LABOUR,0,365,0,0,0,0,0,98
2021,GROWTH,0,365,0,0,0,0,0,26
2021,MONETARY_POLICY,365,0,0,62,243,60,0,12
2021,LIQUIDITY,365,0,0,43,44,171,107,290
2022,INFLATION,0,365,0,0,0,0,0,65
2022,LABOUR,0,365,0,0,0,0,0,111
2022,GROWTH,0,365,0,0,0,0,0,30
2022,MONETARY_POLICY,365,0,183,91,91,0,0,12
2022,LIQUIDITY,365,0,65,183,49,61,7,310
2023,INFLATION,0,365,0,0,0,0,0,72
2023,LABOUR,0,365,0,0,0,0,0,118
2023,GROWTH,0,365,0,0,0,0,0,34
2023,MONETARY_POLICY,365,0,60,245,60,0,0,12
2023,LIQUIDITY,365,0,73,217,42,33,0,315
2024,INFLATION,0,366,0,0,0,0,0,72
2024,LABOUR,0,366,0,0,0,0,0,134
2024,GROWTH,0,366,0,0,0,0,0,33
2024,MONETARY_POLICY,366,0,0,0,275,91,0,12
2024,LIQUIDITY,366,0,49,207,33,77,0,307
2025,INFLATION,0,365,0,0,0,0,0,71
2025,LABOUR,0,365,0,0,0,0,0,139
2025,GROWTH,0,365,0,0,0,0,0,31
2025,MONETARY_POLICY,365,0,0,0,183,182,0,12
2025,LIQUIDITY,365,0,23,174,50,110,8,314
2026,INFLATION,0,179,0,0,0,0,0,65
2026,LABOUR,0,179,0,0,0,0,0,111
2026,GROWTH,0,179,0,0,0,0,0,7
2026,MONETARY_POLICY,179,0,0,0,91,88,0,6
2026,LIQUIDITY,179,0,5,85,14,68,7,165
