variant,join_mode,strategy_id,direction,year,cost_scenario,delta_permitted_trades,delta_total_net_r,delta_average_net_r,delta_resolved_win_rate,delta_maximum_drawdown_r,delta_retention_percentage
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,ALL,NORMALIZED_LOW_COST,-13.0,4.6133052412144115,,,-6.474029475197699,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,ALL,NORMALIZED_MEDIUM_COST,-13.0,4.944925139372398,,,-6.711824906272165,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,ALL,NORMALIZED_HIGH_COST,-13.0,10.501930501930502,,,-10.501930501930502,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2017,NORMALIZED_LOW_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2017,NORMALIZED_MEDIUM_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2017,NORMALIZED_HIGH_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2018,NORMALIZED_LOW_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2018,NORMALIZED_MEDIUM_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2018,NORMALIZED_HIGH_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2019,NORMALIZED_LOW_COST,-3.0,3.0,,,-3.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2019,NORMALIZED_MEDIUM_COST,-3.0,3.0,,,-3.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2019,NORMALIZED_HIGH_COST,-3.0,3.0,,,-3.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2020,NORMALIZED_LOW_COST,-2.0,2.0,,,-2.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2020,NORMALIZED_MEDIUM_COST,-2.0,2.0,,,-2.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2020,NORMALIZED_HIGH_COST,-2.0,2.0,,,-2.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2021,NORMALIZED_LOW_COST,-1.0,-1.7596153846153846,,,0.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2021,NORMALIZED_MEDIUM_COST,-1.0,-1.6402877697841727,,,0.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2021,NORMALIZED_HIGH_COST,-1.0,-1.498069498069498,,,0.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2022,NORMALIZED_LOW_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2022,NORMALIZED_MEDIUM_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2022,NORMALIZED_HIGH_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2023,NORMALIZED_LOW_COST,-3.0,0.23364485981308403,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2023,NORMALIZED_MEDIUM_COST,-3.0,0.352112676056338,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2023,NORMALIZED_HIGH_COST,-3.0,3.0,,,-3.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2024,NORMALIZED_LOW_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2024,NORMALIZED_MEDIUM_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2024,NORMALIZED_HIGH_COST,-1.0,1.0,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2025,NORMALIZED_LOW_COST,-2.0,-0.860724233983287,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2025,NORMALIZED_MEDIUM_COST,-2.0,-0.7668997668997668,,,-1.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2025,NORMALIZED_HIGH_COST,-2.0,2.0,,,-2.0,-100.0
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2026,NORMALIZED_LOW_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2026,NORMALIZED_MEDIUM_COST,0.0,0.0,,,0.0,
M1_LOOSE,J0,M15_C1_OB_FVG,ALL,2026,NORMALIZED_HIGH_COST,0.0,0.0,,,0.0,
