year,category,route_id,sparse_pilot_versions,eligible_versions,classification
2000,LIQUIDITY,FED_H6_ARCHIVE_M2,11,0,SOURCE_VERSION_UNRESOLVED
2001,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2002,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2003,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2004,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2005,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2006,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2007,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2008,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2009,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2010,LIQUIDITY,FED_H6_ARCHIVE_M2,9,0,SOURCE_VERSION_UNRESOLVED
2011,LIQUIDITY,FED_H6_ARCHIVE_M2,12,0,SOURCE_VERSION_UNRESOLVED
2012,LIQUIDITY,FED_H6_ARCHIVE_M2,3,0,SOURCE_VERSION_UNRESOLVED
2013,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2014,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2015,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2016,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2017,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2018,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2019,LIQUIDITY,FED_H6_ARCHIVE_M2,13,0,SOURCE_VERSION_UNRESOLVED
2020,LIQUIDITY,FED_H6_ARCHIVE_M2,35,0,SOURCE_VERSION_UNRESOLVED
2021,LIQUIDITY,FED_H6_ARCHIVE_M2,3,0,SOURCE_VERSION_UNRESOLVED
2022,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2023,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2024,LIQUIDITY,FED_H6_ARCHIVE_M2,0,0,NOT_COLLECTED
2025,LIQUIDITY,FED_H6_ARCHIVE_M2,12,0,SOURCE_VERSION_UNRESOLVED
2026,LIQUIDITY,FED_H6_ARCHIVE_M2,5,0,SOURCE_VERSION_UNRESOLVED
