year,accepted_release_count,direct_release_count,exact_reconciled_release_count,parsed_snapshot_count,first_print_count,revision_count,unchanged_snapshot_count,coverage_status
2000,52,52,0,274,11,91,172,COMPLETE_HASH_AND_CHAIN_VALIDATED
2001,52,52,0,895,12,139,744,COMPLETE_HASH_AND_CHAIN_VALIDATED
2002,52,52,0,1247,12,216,1019,COMPLETE_HASH_AND_CHAIN_VALIDATED
2003,52,52,0,1248,12,203,1033,COMPLETE_HASH_AND_CHAIN_VALIDATED
2004,53,53,0,1272,12,249,1011,COMPLETE_HASH_AND_CHAIN_VALIDATED
2005,52,51,1,1248,12,191,1045,COMPLETE_HASH_AND_CHAIN_VALIDATED
2006,52,52,0,1248,12,183,1053,COMPLETE_HASH_AND_CHAIN_VALIDATED
2007,52,52,0,1248,12,205,1031,COMPLETE_HASH_AND_CHAIN_VALIDATED
2008,52,52,0,1248,12,207,1029,COMPLETE_HASH_AND_CHAIN_VALIDATED
2009,53,53,0,1272,12,202,1058,COMPLETE_HASH_AND_CHAIN_VALIDATED
2010,52,52,0,1248,12,185,1051,COMPLETE_HASH_AND_CHAIN_VALIDATED
2011,52,52,0,1248,12,181,1055,COMPLETE_HASH_AND_CHAIN_VALIDATED
2012,52,52,0,1248,12,177,1059,COMPLETE_HASH_AND_CHAIN_VALIDATED
2013,52,51,1,1248,12,138,1098,COMPLETE_HASH_AND_CHAIN_VALIDATED
2014,52,52,0,1248,12,156,1080,COMPLETE_HASH_AND_CHAIN_VALIDATED
2015,53,53,0,1272,12,168,1092,COMPLETE_HASH_AND_CHAIN_VALIDATED
2016,52,51,1,1248,12,152,1084,COMPLETE_HASH_AND_CHAIN_VALIDATED
2017,52,51,1,1248,12,163,1073,COMPLETE_HASH_AND_CHAIN_VALIDATED
2018,52,52,0,1248,12,155,1081,COMPLETE_HASH_AND_CHAIN_VALIDATED
2019,52,52,0,1248,12,207,1029,COMPLETE_HASH_AND_CHAIN_VALIDATED
2020,53,53,0,1167,12,202,953,COMPLETE_HASH_AND_CHAIN_VALIDATED
2021,17,17,0,289,12,117,160,COMPLETE_HASH_AND_CHAIN_VALIDATED
2022,12,12,0,204,12,142,50,COMPLETE_HASH_AND_CHAIN_VALIDATED
2023,12,12,0,204,12,147,45,COMPLETE_HASH_AND_CHAIN_VALIDATED
2024,12,12,0,204,12,139,53,COMPLETE_HASH_AND_CHAIN_VALIDATED
2025,12,12,0,204,12,146,46,COMPLETE_HASH_AND_CHAIN_VALIDATED
2026,6,6,0,102,6,81,15,COMPLETE_HASH_AND_CHAIN_VALIDATED
