source_run_id,release_id,network_request_ordinal_role5,source_url,http_status,outcome,body_sha256,redacted_error,recovered_by_exact_reconciliation,terminal_effect
role5-h6-full-0136-20020613-a1,20020613,136,https://www.federalreserve.gov/releases/h6/20020613/,200,STOP_PARSER_OR_SOURCE_IDENTITY_UNRESOLVED,1debb5dcab534be962d4f52d1c39b7dba0fa1d01afd8b88101cbd3409f339ddd,CollectionValidationError: Parsed release date mismatches URL,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0279-20050305-a1,20050305,279,https://www.federalreserve.gov/releases/h6/20050305/,200,STOP_PARSER_OR_SOURCE_IDENTITY_UNRESOLVED,917f9e003c428c544d27aa7a76f2b080e13c4d116e362f236c7adba01c732c53,CollectionValidationError: Parsed release date mismatches URL,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0280-20050305-a2,20050305,280,https://www.federalreserve.gov/releases/h6/20050305/h6.txt,200,STOP_PARSER_OR_SOURCE_IDENTITY_UNRESOLVED,878554d53a881e73f956cf7e62e42e059f852a2f1f18833f02aedca4446d475a,CollectionValidationError: Parsed release date mismatches URL,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0701-20130405-a1,20130405,701,https://www.federalreserve.gov/releases/h6/20130405/,404,STOP_HTTP_ERROR,8381d8fbe2eb945261b2dc55fb5045cc4650c414cd34d6c312a4c55101c6a616,,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-correction-0702-year-index,2013_YEAR_INDEX,702,https://www.federalreserve.gov/releases/h6/2013.htm,200,STOP_CORRECTION_VALIDATION_FAILED,89676c02cc67d1f5508e810a475bec7aeed3684f9872e70c821573d3b4785219,"CollectionValidationError: Official year index missing March 28, 2013",true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0892-20161118-a1,20161118,892,https://www.federalreserve.gov/releases/h6/20161118/,200,STOP_PARSER_OR_SOURCE_IDENTITY_UNRESOLVED,8a3483425db86d36cdf108c7ac78e16b45939b60850f2a0e397ba65565ec7a48,CollectionValidationError: Parsed release date mismatches URL,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0893-20161118-a2,20161118,893,https://www.federalreserve.gov/releases/h6/20161118/h6.txt,404,STOP_HTTP_ERROR,0efee485ab8dcb6278fd529e500abc3b6db3688feb844141fc2337f8b65741fd,,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-pdf-0894-20161118,20161118,894,https://www.federalreserve.gov/releases/h6/20161118/H6.pdf,200,STOP_CORRECTION_VALIDATION_FAILED,4a295c47d669cc4bb1ddce9369f499808a4ca0faf2d688fbc2a515ccba7ccad0,"PdfValidationError: Required H6 PDF text missing: release_date,table_1,m2,money_stock,billions_of_dollars,seasonally_adjusted",true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0947-20171123-a1,20171123,947,https://www.federalreserve.gov/releases/h6/20171123/,200,STOP_PARSER_OR_SOURCE_IDENTITY_UNRESOLVED,627732d90d7bc13de840ec4599800f5b948d07f94f55a1b052f1ae52c0322746,CollectionValidationError: Parsed release date mismatches URL,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
role5-h6-full-0948-20171123-a2,20171123,948,https://www.federalreserve.gov/releases/h6/20171123/h6.txt,404,STOP_HTTP_ERROR,0efee485ab8dcb6278fd529e500abc3b6db3688feb844141fc2337f8b65741fd,,true,EVIDENCE_PRESERVED_EXACT_REPAIR_CHAIN_CONTINUED
