observation_id,source_series_id,internal_indicator_id,category,release_bundle,reference_date,observation_version,measurement_version_kind,supersedes_observation_id,previous_normalized_numeric_value,revision_delta,raw_value,normalized_numeric_value,unit,frequency,seasonal_adjustment,raw_label,source_index_identity,canonical_release_date,availability_date,effective_at_utc,effective_at_asia_kuala_lumpur,availability_rule,source_identity_classification,acquisition_classification,source_run_id,raw_artifact_id,raw_artifact_sha256,raw_relative_private_path,parser_format,point_in_time_classification,protocol_eligibility,historical_reconstruction,observation_payload_sha256
H6-M2-200001-V0001,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,1,FIRST_PRINT,,,,4683.9,4683.9,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000210,2000-02-10,2000-02-10,2000-02-11T17:00:00Z,2000-02-12T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0015-20000210-a1,role5-h6-full-0015-20000210-a1-body,e31b3cb3c10a6e579d73614a1a12f0c9085c2cd323c67e1c215842fa4a27cd63,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-02-10/source_run=role5-h6-full-0015-20000210-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,bd4781f7ad1287502feb8d9a57a87cfb23e170bfa7d54d839f5d0099a3a48266
H6-M2-200001-V0002,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,2,REVISION,H6-M2-200001-V0001,4683.9,0.5,4684.4,4684.4,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000217,2000-02-17,2000-02-17,2000-02-18T17:00:00Z,2000-02-19T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0016-20000217-a1,role5-h6-full-0016-20000217-a1-body,68431822d5f215350397b6bfb77ec5db8b5068b2aef6ddd14ee2d4c255bd44b9,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-02-17/source_run=role5-h6-full-0016-20000217-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,3c99c1fd69bf4861853afe2a05902da928235ff2a7893f8ceeed0d6b960bdac0
H6-M2-200001-V0003,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,3,REVISION,H6-M2-200001-V0002,4684.4,-0.1,4684.3,4684.3,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000224,2000-02-24,2000-02-24,2000-02-25T17:00:00Z,2000-02-26T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0017-20000224-a1,role5-h6-full-0017-20000224-a1-body,1604a18261659310274cf67f6e54e598ab3e0e0f65cc58ec604d27146fcd4230,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-02-24/source_run=role5-h6-full-0017-20000224-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,38a3093e6e035fa0307676feecf67fc075631941d38894a228e48690f9f79f73
H6-M2-200001-V0004,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,4,REVISION,H6-M2-200001-V0003,4684.3,0.2,4684.5,4684.5,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000309,2000-03-09,2000-03-09,2000-03-10T17:00:00Z,2000-03-11T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0019-20000309-a1,role5-h6-full-0019-20000309-a1-body,b243ce15259386137468d5a5c751546f11b57da909c3e025dfcd40e9a6f3c283,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-03-09/source_run=role5-h6-full-0019-20000309-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,487d9eea9a0af593f2a87e266ca97747b2376715e87382b16555383fc7ac998e
H6-M2-200001-V0005,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,5,REVISION,H6-M2-200001-V0004,4684.5,-9.3,4675.2,4675.2,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000316,2000-03-16,2000-03-16,2000-03-17T17:00:00Z,2000-03-18T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0020-20000316-a1,role5-h6-full-0020-20000316-a1-body,8cc54abfb081ceab40d72331e2c51da7db0f894c766a519d0587f65b32035510,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-03-16/source_run=role5-h6-full-0020-20000316-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,f0360810f38859b289d9da31764cd3ab9064d2c0e6989bc86141978b3e8aaeed
H6-M2-200002-V0001,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-02-01,1,FIRST_PRINT,,,,4683.7,4683.7,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Feb.,20000316,2000-03-16,2000-03-16,2000-03-17T17:00:00Z,2000-03-18T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0020-20000316-a1,role5-h6-full-0020-20000316-a1-body,8cc54abfb081ceab40d72331e2c51da7db0f894c766a519d0587f65b32035510,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-03-16/source_run=role5-h6-full-0020-20000316-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,503532712b62cf6d28feb4c7d36bb960a779c13bfa209fd01f3e6a23a86a2450
H6-M2-200002-V0002,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-02-01,2,REVISION,H6-M2-200002-V0001,4683.7,-0.1,4683.6,4683.6,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Feb.,20000330,2000-03-30,2000-03-30,2000-03-31T17:00:00Z,2000-04-01T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0022-20000330-a1,role5-h6-full-0022-20000330-a1-body,b0789cb3efce3c6277899a72782f79ebae13e93c15d7e403c28b3f75939c248f,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-03-30/source_run=role5-h6-full-0022-20000330-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,b743e4287f8263b1dcbc03df1982e669eb0ad33ca947e7ab57a159522f0cc2d7
H6-M2-200001-V0006,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,6,REVISION,H6-M2-200001-V0005,4675.2,0.1,4675.3,4675.3,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000406,2000-04-06,2000-04-06,2000-04-07T16:00:00Z,2000-04-08T00:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0023-20000406-a1,role5-h6-full-0023-20000406-a1-body,1e3bf5779627187ab1223f4c4d42c939d2044ccb2bc93a0ad993be5f2db18bcb,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-04-06/source_run=role5-h6-full-0023-20000406-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,b515a0b3442ed725925b2661740fc55920be292ee75fa7ba91bfe22c3820d097
H6-M2-200001-V0007,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,7,REVISION,H6-M2-200001-V0006,4675.3,-0.1,4675.2,4675.2,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Jan.,20000413,2000-04-13,2000-04-13,2000-04-14T16:00:00Z,2000-04-15T00:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0024-20000413-a1,role5-h6-full-0024-20000413-a1-body,82f586b0afd8b87b11e0946b37324438862c79401f4e44df112e62653334bb91,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-04-13/source_run=role5-h6-full-0024-20000413-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,29e1281e53db6e29a1ac631085cf595793eb7db8a25efe482051feb9b4b2cb86
H6-M2-200003-V0001,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-03-01,1,FIRST_PRINT,,,,4718.0,4718,BILLIONS_OF_DOLLARS,MONTHLY,SEASONALLY_ADJUSTED,2000-Mar.,20000413,2000-04-13,2000-04-13,2000-04-14T16:00:00Z,2000-04-15T00:00:00+08:00,J0_CONSERVATIVE_36H_FROM_CANONICAL_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0024-20000413-a1,role5-h6-full-0024-20000413-a1-body,82f586b0afd8b87b11e0946b37324438862c79401f4e44df112e62653334bb91,full_sequence=H6_M2_2000_20260628_V1/release_date=2000-04-13/source_run=role5-h6-full-0024-20000413-a1/release.html,LEGACY_PRE,PIT_CERTIFIED_OFFICIAL_DATED_RELEASE_CHAIN,ELIGIBLE_COMPLETE_H6_REVISION_CHAIN,True,5f85306ad41aee502fb32b3f16e3a763b8cf1007f3c55da4ae9bb5bd9878783f
