release_snapshot_id,source_index_identity,canonical_release_date,reference_date,raw_value,normalized_numeric_value,snapshot_action,created_observation_version,active_observation_id,active_observation_version,previous_observation_id,previous_normalized_numeric_value,revision_delta,source_identity_classification,acquisition_classification,source_run_id,raw_artifact_id,raw_artifact_sha256,parser_format
H6-M2-20000210-200001,20000210,2000-02-10,2000-01-01,4683.9,4683.9,FIRST_PRINT_CREATED,true,H6-M2-200001-V0001,1,,,,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0015-20000210-a1,role5-h6-full-0015-20000210-a1-body,e31b3cb3c10a6e579d73614a1a12f0c9085c2cd323c67e1c215842fa4a27cd63,LEGACY_PRE
H6-M2-20000217-200001,20000217,2000-02-17,2000-01-01,4684.4,4684.4,REVISION_CREATED,true,H6-M2-200001-V0002,2,H6-M2-200001-V0001,4683.9,0.5,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0016-20000217-a1,role5-h6-full-0016-20000217-a1-body,68431822d5f215350397b6bfb77ec5db8b5068b2aef6ddd14ee2d4c255bd44b9,LEGACY_PRE
H6-M2-20000224-200001,20000224,2000-02-24,2000-01-01,4684.3,4684.3,REVISION_CREATED,true,H6-M2-200001-V0003,3,H6-M2-200001-V0002,4684.4,-0.1,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0017-20000224-a1,role5-h6-full-0017-20000224-a1-body,1604a18261659310274cf67f6e54e598ab3e0e0f65cc58ec604d27146fcd4230,LEGACY_PRE
H6-M2-20000302-200001,20000302,2000-03-02,2000-01-01,4684.3,4684.3,UNCHANGED_SNAPSHOT_NO_NEW_VERSION,false,H6-M2-200001-V0003,3,H6-M2-200001-V0003,4684.3,0,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0018-20000302-a1,role5-h6-full-0018-20000302-a1-body,f2eb7daf0fa357a03007ee9050f65af3e0af905800ba66c03da9d867e065717a,LEGACY_PRE
H6-M2-20000309-200001,20000309,2000-03-09,2000-01-01,4684.5,4684.5,REVISION_CREATED,true,H6-M2-200001-V0004,4,H6-M2-200001-V0003,4684.3,0.2,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0019-20000309-a1,role5-h6-full-0019-20000309-a1-body,b243ce15259386137468d5a5c751546f11b57da909c3e025dfcd40e9a6f3c283,LEGACY_PRE
H6-M2-20000316-200001,20000316,2000-03-16,2000-01-01,4675.2,4675.2,REVISION_CREATED,true,H6-M2-200001-V0005,5,H6-M2-200001-V0004,4684.5,-9.3,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0020-20000316-a1,role5-h6-full-0020-20000316-a1-body,8cc54abfb081ceab40d72331e2c51da7db0f894c766a519d0587f65b32035510,LEGACY_PRE
H6-M2-20000316-200002,20000316,2000-03-16,2000-02-01,4683.7,4683.7,FIRST_PRINT_CREATED,true,H6-M2-200002-V0001,1,,,,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0020-20000316-a1,role5-h6-full-0020-20000316-a1-body,8cc54abfb081ceab40d72331e2c51da7db0f894c766a519d0587f65b32035510,LEGACY_PRE
H6-M2-20000323-200001,20000323,2000-03-23,2000-01-01,4675.2,4675.2,UNCHANGED_SNAPSHOT_NO_NEW_VERSION,false,H6-M2-200001-V0005,5,H6-M2-200001-V0005,4675.2,0,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0021-20000323-a1,role5-h6-full-0021-20000323-a1-body,2952e1200c4e71bda7f7f87b5225a7249c765a4280be4b21aaf719d6fdd499a9,LEGACY_PRE
H6-M2-20000323-200002,20000323,2000-03-23,2000-02-01,4683.7,4683.7,UNCHANGED_SNAPSHOT_NO_NEW_VERSION,false,H6-M2-200002-V0001,1,H6-M2-200002-V0001,4683.7,0,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0021-20000323-a1,role5-h6-full-0021-20000323-a1-body,2952e1200c4e71bda7f7f87b5225a7249c765a4280be4b21aaf719d6fdd499a9,LEGACY_PRE
H6-M2-20000330-200001,20000330,2000-03-30,2000-01-01,4675.2,4675.2,UNCHANGED_SNAPSHOT_NO_NEW_VERSION,false,H6-M2-200001-V0005,5,H6-M2-200001-V0005,4675.2,0,DIRECT_OFFICIAL_DATED_RELEASE_IDENTITY,NEW_FULL_TRAVERSAL_BODY,role5-h6-full-0022-20000330-a1,role5-h6-full-0022-20000330-a1-body,b0789cb3efce3c6277899a72782f79ebae13e93c15d7e403c28b3f75939c248f,LEGACY_PRE
