join_mode,category,category_score,setups,filled_trades,medium_total_net_r,medium_average_net_r,status
J0,INFLATION,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J0,LABOUR,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J0,GROWTH,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,-1,155,102,-57.70411698437927,-0.5657266371017576,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,-2,23,15,-12.388616342248246,-0.8259077561498831,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,0,138,97,-33.5881819716011,-0.34626991723300105,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,1,108,70,-50.3567870071292,-0.719382671530417,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,2,14,9,-6.420168067226891,-0.7133520074696545,DESCRIPTIVE_NOT_CAUSAL
J0,MONETARY_POLICY,UNKNOWN,16,13,-13.0,-1.0,DESCRIPTIVE_NOT_CAUSAL
J0,LIQUIDITY,-1,159,104,-63.70284167559092,-0.612527323803759,DESCRIPTIVE_NOT_CAUSAL
J0,LIQUIDITY,-2,44,31,-13.369687039983479,-0.43128022709624125,DESCRIPTIVE_NOT_CAUSAL
J0,LIQUIDITY,0,68,51,-36.70747066579456,-0.7197543267802855,DESCRIPTIVE_NOT_CAUSAL
J0,LIQUIDITY,1,151,97,-53.62123649242171,-0.5527962524991928,DESCRIPTIVE_NOT_CAUSAL
J0,LIQUIDITY,2,32,23,-6.0566344987940335,-0.2633319347301753,DESCRIPTIVE_NOT_CAUSAL
J1,INFLATION,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J1,LABOUR,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J1,GROWTH,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,-1,155,102,-57.70411698437927,-0.5657266371017576,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,-2,23,15,-12.388616342248246,-0.8259077561498831,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,0,138,97,-33.5881819716011,-0.34626991723300105,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,1,108,70,-50.3567870071292,-0.719382671530417,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,2,14,9,-6.420168067226891,-0.7133520074696545,DESCRIPTIVE_NOT_CAUSAL
J1,MONETARY_POLICY,UNKNOWN,16,13,-13.0,-1.0,DESCRIPTIVE_NOT_CAUSAL
J1,LIQUIDITY,-1,153,99,-64.02417494139223,-0.6467088377918407,DESCRIPTIVE_NOT_CAUSAL
J1,LIQUIDITY,-2,54,37,-16.74421887518947,-0.4525464560862019,DESCRIPTIVE_NOT_CAUSAL
J1,LIQUIDITY,0,69,53,-33.67385722041641,-0.6353557966116303,DESCRIPTIVE_NOT_CAUSAL
J1,LIQUIDITY,1,148,98,-42.52502873314844,-0.4339288646239637,DESCRIPTIVE_NOT_CAUSAL
J1,LIQUIDITY,2,30,19,-16.49059060243816,-0.8679258211809556,DESCRIPTIVE_NOT_CAUSAL
J2,INFLATION,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J2,LABOUR,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J2,GROWTH,UNKNOWN,454,306,-173.45787037258475,-0.5668557855313225,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,-1,155,102,-57.70411698437927,-0.5657266371017576,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,-2,23,15,-12.388616342248246,-0.8259077561498831,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,0,138,97,-33.5881819716011,-0.34626991723300105,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,1,108,70,-50.3567870071292,-0.719382671530417,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,2,14,9,-6.420168067226891,-0.7133520074696545,DESCRIPTIVE_NOT_CAUSAL
J2,MONETARY_POLICY,UNKNOWN,16,13,-13.0,-1.0,DESCRIPTIVE_NOT_CAUSAL
J2,LIQUIDITY,-1,188,124,-78.68512938366035,-0.634557495029519,DESCRIPTIVE_NOT_CAUSAL
J2,LIQUIDITY,-2,44,31,-13.369687039983479,-0.43128022709624125,DESCRIPTIVE_NOT_CAUSAL
J2,LIQUIDITY,0,49,38,-27.95215299102147,-0.7355829734479334,DESCRIPTIVE_NOT_CAUSAL
J2,LIQUIDITY,1,133,87,-45.99230567481163,-0.5286471916645016,DESCRIPTIVE_NOT_CAUSAL
J2,LIQUIDITY,2,40,26,-7.458595283107758,-0.2868690493502984,DESCRIPTIVE_NOT_CAUSAL
