join_mode,macro_variant,seed,requested_draws,executed_draws,target_retained_fills,target_bullish_fills,target_bearish_fills,macro_expectancy_r,random_expectancy_mean_r,random_expectancy_median_r,random_expectancy_p05_r,random_expectancy_p95_r,status,reason
J0,M1_LOOSE,2026071409,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J0,M2_PRIMARY,2026071410,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J0,M3_STRONG_ONLY,2026071411,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J0,M4_HIGH_COVERAGE,2026071412,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J1,M1_LOOSE,2026071509,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J1,M2_PRIMARY,2026071510,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J1,M3_STRONG_ONLY,2026071511,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J1,M4_HIGH_COVERAGE,2026071512,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J2,M1_LOOSE,2026071609,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J2,M2_PRIMARY,2026071610,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J2,M3_STRONG_ONLY,2026071611,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
J2,M4_HIGH_COVERAGE,2026071612,1000,0,0,0,0,,,,,,NOT_APPLICABLE_ZERO_RETENTION,A retention-matched distribution is undefined when the frozen macro filter retains zero filled trades; zero is not converted to a random sample.
